time,x_m,y_m,z_m
21.2365,1.2472,0.0269,0.2666
21.2920,1.3125,0.0295,0.2387
21.3490,1.3781,0.0304,0.2118
21.3973,1.4445,0.0317,0.1650
21.4549,1.4726,0.0288,0.1442
21.5115,1.5065,0.0263,0.1261
21.5595,1.5392,0.0239,0.0958
21.6121,1.5693,0.0212,0.0544
21.6708,1.5974,0.0182,0.0127
21.7239,1.6096,0.0158,-0.0287
21.7672,1.5849,0.0148,-0.0590
21.8140,1.5485,0.0129,-0.0744
21.8653,1.4903,0.0117,-0.0770
21.9163,1.4284,0.0102,-0.0786
21.9651,1.3525,0.0089,-0.0759
22.0046,1.2773,0.0082,-0.0731
22.0596,1.2024,0.0075,-0.0673
22.1105,1.1194,0.0073,-0.0585
22.1591,1.0372,0.0076,-0.0535
22.2006,0.9459,0.0072,-0.0425
22.2462,0.8588,0.0065,-0.0356
22.2924,0.7635,0.0062,-0.0288
22.3362,0.6728,0.0068,-0.0226
22.3872,0.5849,0.0065,-0.0168
22.4308,0.4961,0.0082,0.0028
22.4926,0.4209,0.0075,0.0277
22.5385,0.3632,0.0076,0.0513
22.5929,0.3189,0.0070,0.0764
22.6482,0.2923,0.0061,0.1150
22.6930,0.2809,0.0052,0.1571
22.7377,0.2763,0.0048,0.1997
22.7767,0.2768,0.0057,0.2334
22.8119,0.2817,0.0066,0.2688
22.8497,0.2906,0.0082,0.3009
22.8993,0.3074,0.0096,0.3411
22.9563,0.3267,0.0105,0.3772
23.0016,0.3532,0.0094,0.4200
23.0544,0.3806,0.0084,0.4642
23.1020,0.4129,0.0086,0.5091
23.1489,0.4453,0.0083,0.5528
23.2094,0.4817,0.0070,0.6022
23.2540,0.5170,0.0079,0.6459
23.2978,0.5580,0.0080,0.7074
23.3510,0.6002,0.0072,0.7642
23.4111,0.6536,0.0093,0.8210
23.4600,0.7073,0.0082,0.8859
23.4990,0.7722,0.0080,0.9575
23.5456,0.8347,0.0071,1.0326
23.6039,0.9058,0.0077,1.1062
23.6635,0.9756,0.0071,1.1813
23.7167,1.0551,0.0065,1.2640
23.7620,1.1434,0.0097,1.3385
23.8181,1.2256,0.0117,1.4129
23.8664,1.2935,0.0123,1.4795
23.9128,1.3483,0.0107,1.5447
23.9666,1.3958,0.0105,1.5979
24.0093,1.4365,0.0101,1.6446
24.0610,1.4704,0.0097,1.6851
24.1244,1.4987,0.0087,1.7270
24.1677,1.5245,0.0094,1.7604
24.2135,1.5442,0.0103,1.7896
24.2683,1.5617,0.0113,1.8144
24.3191,1.5784,0.0147,1.8263
24.3593,1.5709,0.0188,1.7970
24.4064,1.5506,0.0263,1.7260
24.4493,1.5215,0.0345,1.6340
24.5048,1.4662,0.0404,1.5028
24.5510,1.4024,0.0404,1.3956
24.6006,1.3244,0.0377,1.2691
24.6453,1.2468,0.0363,1.1324
24.6887,1.1709,0.0348,0.9965
24.7370,1.0875,0.0333,0.8602
24.7874,1.0074,0.0304,0.7216
24.8267,0.9224,0.0291,0.5727
24.8717,0.8490,0.0259,0.4528
24.9283,0.7916,0.0226,0.3473
24.9794,0.7585,0.0198,0.2668
25.0230,0.7392,0.0186,0.2011
25.0693,0.7379,0.0191,0.1540
25.1239,0.7443,0.0175,0.1166
25.1590,0.7659,0.0151,0.0963
25.2088,0.7925,0.0147,0.0815
25.2587,0.8218,0.0151,0.0687
25.3098,0.8604,0.0161,0.0601
25.3610,0.9029,0.0171,0.0552
25.4210,0.9547,0.0176,0.0533
25.4641,1.0108,0.0192,0.0512
25.5229,1.0622,0.0202,0.0632
25.5620,1.1375,0.0278,0.0403
25.6086,1.2078,0.0299,0.0355
25.6641,1.2722,0.0347,0.0102
25.7257,1.3355,0.0392,-0.0277
25.7587,1.3688,0.0341,-0.0220
25.8000,1.4010,0.0306,-0.0322
25.8616,1.4307,0.0274,-0.0440
25.9020,1.4454,0.0276,-0.0629
25.9477,1.4439,0.0256,-0.0784
25.9850,1.4268,0.0237,-0.0846
26.0254,1.3833,0.0219,-0.0916
26.0720,1.3339,0.0211,-0.1001
26.1195,1.2797,0.0181,-0.1006
26.1589,1.2115,0.0161,-0.1031
26.2140,1.1412,0.0154,-0.1016
26.2595,1.0620,0.0133,-0.1056
26.3020,0.9839,0.0127,-0.1086
26.3573,0.9060,0.0131,-0.1200
26.3986,0.8186,0.0142,-0.1287
26.4559,0.7335,0.0158,-0.1356
26.5112,0.6403,0.0146,-0.1405
26.5652,0.5507,0.0125,-0.1507
26.6236,0.4616,0.0115,-0.1428
26.6691,0.3916,0.0119,-0.1273
26.7256,0.3375,0.0130,-0.1204
26.7667,0.3063,0.0118,-0.1003
26.8206,0.2869,0.0126,-0.0806
26.8627,0.2860,0.0125,-0.0532
26.9029,0.2925,0.0147,-0.0274
26.9450,0.3062,0.0146,0.0050
27.0028,0.3258,0.0137,0.0374
27.0575,0.3559,0.0117,0.0772
27.1030,0.3980,0.0112,0.1178
27.1646,0.4415,0.0099,0.1662
27.2209,0.4936,0.0101,0.2091
27.2618,0.5530,0.0102,0.2518
27.3035,0.6109,0.0115,0.2944
27.3543,0.6684,0.0122,0.3389
27.3968,0.7317,0.0107,0.3906
27.4325,0.7968,0.0119,0.4302
27.4874,0.8579,0.0108,0.4868
27.5314,0.9244,0.0097,0.5539
27.5804,0.9910,0.0098,0.6141
27.6302,1.0580,0.0092,0.6779
27.6761,1.1302,0.0085,0.7528
27.7324,1.2010,0.0110,0.8118
27.7712,1.2663,0.0100,0.8867
27.8227,1.3271,0.0091,0.9591
27.8623,1.3911,0.0080,1.0392
27.9014,1.4381,0.0081,1.1107
27.9456,1.4719,0.0071,1.1683
27.9988,1.4961,0.0079,1.2140
28.0448,1.5039,0.0081,1.2597
28.0979,1.5046,0.0072,1.3041
28.1354,1.5001,0.0110,1.3287
28.1827,1.4899,0.0122,1.3597
28.2399,1.4693,0.0111,1.4047
28.2887,1.4466,0.0111,1.4479
28.3443,1.4204,0.0135,1.4688
28.3905,1.3922,0.0157,1.4888
28.4305,1.3594,0.0175,1.5100
28.4830,1.3264,0.0180,1.5349
28.5261,1.2933,0.0165,1.5663
28.5813,1.2510,0.0177,1.5639
28.6252,1.2013,0.0180,1.5406
28.6626,1.1332,0.0183,1.4552
28.7183,1.0653,0.0168,1.3640
28.7590,0.9859,0.0158,1.2376
28.8037,0.9092,0.0146,1.1098
28.8540,0.8332,0.0144,0.9688
28.8992,0.7514,0.0123,0.8156
28.9566,0.6736,0.0121,0.6672
29.0064,0.6161,0.0136,0.5242
29.0502,0.5823,0.0148,0.4119
29.1002,0.5816,0.0136,0.3521
29.1574,0.5924,0.0129,0.3009
29.2035,0.6249,0.0128,0.2787
29.2568,0.6599,0.0149,0.2569
29.2944,0.7054,0.0201,0.2294
29.3359,0.7510,0.0207,0.2221
29.3926,0.7976,0.0239,0.2156
29.4268,0.8532,0.0275,0.2013
29.5181,0.9134,0.0292,0.1941
29.5526,0.9754,0.0308,0.1737
29.5899,1.0424,0.0274,0.1558
29.6374,1.1067,0.0235,0.1316
29.6923,1.1678,0.0207,0.0927
29.7316,1.2307,0.0185,0.0399
29.7897,1.2936,0.0210,-0.0441
29.8263,1.3413,0.0197,-0.1006
29.8766,1.3732,0.0193,-0.1446
29.9294,1.3895,0.0171,-0.1711
29.9656,1.3869,0.0147,-0.1861
30.0309,1.3757,0.0139,-0.1887
30.0671,1.3549,0.0136,-0.2001
30.1098,1.3316,0.0121,-0.2062
30.1568,1.3068,0.0110,-0.2145
30.2035,1.2740,0.0101,-0.2144
30.2458,1.2413,0.0087,-0.2109
30.3021,1.2078,0.0085,-0.2077
30.3497,1.1681,0.0087,-0.1980
30.3931,1.1286,0.0075,-0.1865
30.4438,1.0831,0.0064,-0.1700
30.4907,1.0389,0.0069,-0.1557
30.5415,0.9894,0.0072,-0.1460
30.5902,0.9406,0.0078,-0.1376
30.6316,0.8811,0.0098,-0.1388
30.6862,0.8214,0.0091,-0.1333
30.7416,0.7505,0.0099,-0.1370
30.7882,0.6812,0.0094,-0.1398
30.8348,0.6065,0.0083,-0.1414
30.8945,0.5436,0.0102,-0.1492
30.9417,0.5050,0.0126,-0.1407
31.0052,0.4800,0.0121,-0.1160
31.0497,0.4684,0.0141,-0.0868
31.0908,0.4640,0.0136,-0.0512
31.1410,0.4668,0.0124,-0.0080
31.1885,0.4715,0.0107,0.0312
31.2458,0.4814,0.0102,0.0743
31.2957,0.4923,0.0095,0.1158
31.3477,0.5061,0.0086,0.1581
31.4058,0.5204,0.0085,0.1963
31.4498,0.5386,0.0087,0.2399
31.4954,0.5586,0.0088,0.2900
31.5474,0.5892,0.0094,0.3466
31.5892,0.6234,0.0122,0.4005
31.6304,0.6704,0.0113,0.4786
31.7100,0.7269,0.0211,0.5689
31.7565,0.7844,0.0196,0.6500
31.8059,0.8424,0.0177,0.7331
31.8538,0.9094,0.0152,0.8235
31.9004,0.9835,0.0136,0.9226
31.9759,1.0558,0.0171,1.0239
32.0226,1.1378,0.0156,1.1245
32.0804,1.2293,0.0158,1.2258
32.1307,1.3177,0.0187,1.3118
32.1795,1.3738,0.0203,1.3843
32.2219,1.4088,0.0174,1.4617
32.2638,1.4287,0.0148,1.5275
32.3242,1.4320,0.0127,1.5789
32.3724,1.4290,0.0139,1.6127
32.4164,1.4132,0.0127,1.6483
32.4643,1.3928,0.0113,1.6811
32.5245,1.3691,0.0099,1.7098
32.5609,1.3314,0.0120,1.7203
32.6120,1.2932,0.0141,1.7249
32.6597,1.2531,0.0153,1.7307
32.7112,1.1980,0.0161,1.7122
32.7640,1.1345,0.0185,1.6585
32.8151,1.0514,0.0173,1.5611
32.8591,0.9666,0.0171,1.4476
32.9108,0.8691,0.0150,1.3075
32.9618,0.7747,0.0128,1.1682
33.0061,0.6687,0.0159,0.9866
33.0647,0.5634,0.0239,0.7878
33.1153,0.4650,0.0361,0.5667
33.1598,0.3931,0.0470,0.3657
33.2141,0.3698,0.0628,0.1885
33.2628,0.3729,0.0744,0.0614
33.3298,0.4212,0.0758,0.0260
33.3751,0.5018,0.0666,0.0867
33.4289,0.5836,0.0631,0.1110
33.4679,0.6823,0.0714,0.0892
33.5131,0.7797,0.0777,0.0700
33.5492,0.8732,0.0796,0.0788
33.6005,0.9542,0.0798,0.0944
33.6501,1.0175,0.0733,0.1207
33.6941,1.0649,0.0646,0.1557
33.7445,1.1056,0.0582,0.1705
33.8116,1.1402,0.0577,0.1508
33.8589,1.1677,0.0580,0.1134
33.9042,1.1909,0.0498,0.1189
33.9500,1.2131,0.0481,0.0952
33.9938,1.2321,0.0476,0.0691
34.0492,1.2456,0.0421,0.0646
34.1256,1.2584,0.0386,0.0401
34.1620,1.2687,0.0333,0.0192
34.2043,1.2792,0.0314,-0.0175
34.2536,1.2868,0.0273,-0.0422
34.3090,1.2903,0.0262,-0.0897
34.3552,1.2772,0.0255,-0.1328
34.4102,1.2337,0.0220,-0.1443
34.4618,1.1812,0.0190,-0.1598
34.5154,1.1103,0.0162,-0.1685
34.5642,1.0371,0.0153,-0.1786
34.6164,0.9636,0.0134,-0.1833
34.6490,0.8815,0.0119,-0.1864
34.7194,0.7908,0.0139,-0.1946
34.7687,0.7043,0.0123,-0.1946
34.8322,0.6090,0.0112,-0.2034
34.8717,0.5111,0.0098,-0.2035
34.9212,0.4272,0.0091,-0.1908
34.9678,0.3601,0.0097,-0.1710
35.0243,0.3170,0.0097,-0.1429
35.0648,0.3003,0.0133,-0.1228
35.1242,0.2982,0.0132,-0.0836
35.1617,0.3200,0.0130,-0.0379
35.2078,0.3490,0.0113,0.0083
35.2613,0.3848,0.0112,0.0546
35.3361,0.4344,0.0101,0.1169
35.3884,0.5001,0.0100,0.1801
35.4357,0.5673,0.0098,0.2399
35.5000,0.6454,0.0086,0.3044
